내용,1,2,3,4,답
"When the participants arrived, they were given a kit, _______ contained a convention program, a notebook and pencil, and a list of places they could visit during their free time. ",which ,who ,whose ,where,which 
"Most people had never heard of the book “The Last Thinker”, but it became well-known when a famous critic _______ the author for his unusual writing style. ",purchased ,decreased ,praised  ,relieved,praised  
The 5-day workshop is aimed at helping artistically-inclined teenagers _______ artworks that utilize advanced painting techniques. ,produced ,production ,producing ,produce,produce
The medical test results _______ by the laboratory assistant were delivered by an attendant to the hospital’s clinical departments. ,confirmed ,confirm ,are confirming ,have confirmed,confirmed 
"To reduce the amount of time spent on processing loan applications, the bank’s officials _______ a procedure that requires the assessment of only one administrator. ",alleviated ,deposited ,finalized ,equipped,finalized 
"Eagle Technology, the _______ software company in the region, is planning to merge with a telecommunications firm within two years. ",dominate ,dominant ,dominantly ,dominance,dominant 
"During the entertainment program at the Wilkerson Company’s anniversary celebration, a song by an employee was _______ by a live band performance. ",advanced ,followed ,pursued ,attended,followed 
The newspaper’s editor approved an article for printing before _______ had a chance to check the work for mistakes and inaccuracies. ,her ,herself ,hers ,she,she
_______ the fast food restaurant open sixteen hours a day requires a staff of at least twenty persons on two separate shifts. ,Keeping ,Keeps ,Kept ,Keep,Keeping 
"Because this is peak season, only convention participants from other cities will be accommodated at available rooms _______ the length of the assembly. ",since ,until ,about ,for,for
A skin cream formulated by a renowned dermatologist will be offered _______ at Landmark Department Store and its branches. ,thoroughly ,exclusively ,remarkably ,profoundly,exclusively 
The mechanic _______ checked the vehicle said that it was in good condition and that all it needed was a minor adjustment to the engine. ,who ,which ,whom ,whose,who 
"_______ making a bank transaction via the Internet, make sure to install all the security software that the bank’s web page initiates. ",When ,Since ,Besides ,Despite,When 
"After the inspector examined the plant’s assembly line equipment, he prepared a summary _______ what he considered were issues that needed to be dealt with. ",to ,on ,from ,with,on 
The government has decided to charge a higher luxury tax on jewelry and precious stones _______ from North America and Europe. ,imported ,import ,importing ,imports,imported 
Book Nook is one of the _______ shops that prohibits customers from reading magazines and books that they do not intend to purchase. ,few ,much  ,little ,each,few 
An employer must provide a _______ reason for terminating an employment contract as well as give the employee one month’s notice. ,chronic ,subtle ,valid ,habitual,valid 
Info-Pool is a large Internet-based information bank that _______ archived electronic journals on a wide variety of topics. ,contain ,contains ,containing ,are containing,contains 
"With global warming continuing to be a problem, manufacturers now consider it vital to design and utilize technology that is _______ friendly. ",environment ,environmental ,environmentally ,environments,environmentally 
